date,open,high,low,close,volume,Name
1/2/2015,111.39,111.44,107.35,109.33,53204626,AAPL
1/5/2015,108.29,108.65,105.41,106.25,64285491,AAPL
1/6/2015,106.54,107.43,104.63,106.26,65797116,AAPL
1/7/2015,107.2,108.2,106.695,107.75,40105934,AAPL
1/8/2015,109.23,112.15,108.7,111.89,59364547,AAPL
1/9/2015,112.67,113.25,110.21,112.01,53699527,AAPL
1/12/2015,112.6,112.63,108.8,109.25,49650790,AAPL
1/13/2015,111.43,112.8,108.91,110.22,67091928,AAPL
1/14/2015,109.04,110.49,108.5,109.8,48956588,AAPL
1/15/2015,110,110.06,106.66,106.82,60013996,AAPL
1/16/2015,107.03,107.58,105.2,105.99,78513345,AAPL
1/20/2015,107.84,108.9667,106.5,108.72,49899907,AAPL
1/21/2015,108.95,111.06,108.27,109.55,48575897,AAPL
1/22/2015,110.26,112.47,109.72,112.4,53796409,AAPL
1/23/2015,112.3,113.75,111.53,112.98,46464828,AAPL
1/26/2015,113.74,114.3626,112.8,113.1,55614979,AAPL
1/27/2015,112.42,112.48,109.03,109.14,95568749,AAPL
1/28/2015,117.625,118.12,115.31,115.31,146477063,AAPL
1/29/2015,116.32,119.19,115.56,118.9,84436432,AAPL
1/30/2015,118.4,120,116.85,117.16,83745461,AAPL
2/2/2015,118.05,119.17,116.08,118.63,62739100,AAPL
2/3/2015,118.5,119.09,117.61,118.65,51915749,AAPL
2/4/2015,118.5,120.51,118.309,119.56,70149743,AAPL
2/5/2015,120.02,120.23,119.25,119.94,42246245,AAPL
2/6/2015,120.02,120.25,118.45,118.93,43706567,AAPL
2/9/2015,118.55,119.84,118.43,119.72,38889797,AAPL
2/10/2015,120.17,122.15,120.16,122.02,62008506,AAPL
2/11/2015,122.77,124.92,122.5,124.88,73561797,AAPL
2/12/2015,126.06,127.48,125.57,126.46,74474466,AAPL
2/13/2015,127.28,127.28,125.65,127.08,54272219,AAPL
2/17/2015,127.49,128.88,126.92,127.83,63152405,AAPL
2/18/2015,127.625,128.78,127.45,128.715,44891737,AAPL
2/19/2015,128.48,129.03,128.33,128.45,37362381,AAPL
2/20/2015,128.62,129.5,128.05,129.495,48948419,AAPL
2/23/2015,130.02,133,129.66,133,70974110,AAPL
2/24/2015,132.94,133.6,131.17,132.17,69228130,AAPL
2/25/2015,131.56,131.6,128.15,128.79,74711746,AAPL
2/26/2015,128.785,130.87,126.61,130.415,91287529,AAPL
2/27/2015,130,130.57,128.24,128.46,62014847,AAPL
3/2/2015,129.25,130.28,128.3,129.09,48096663,AAPL
3/3/2015,128.96,129.52,128.09,129.36,37816283,AAPL
3/4/2015,129.1,129.56,128.32,128.54,31666340,AAPL
3/5/2015,128.58,128.75,125.76,126.41,56517146,AAPL
3/6/2015,128.4,129.37,126.26,126.6,72842060,AAPL
3/9/2015,127.96,129.57,125.06,127.14,88528487,AAPL
3/10/2015,126.41,127.22,123.8,124.51,68856582,AAPL
3/11/2015,124.75,124.77,122.11,122.24,68938974,AAPL
3/12/2015,122.31,124.9,121.63,124.45,48362719,AAPL
3/13/2015,124.4,125.3951,122.58,123.59,51827283,AAPL
3/16/2015,123.88,124.95,122.87,124.95,35874300,AAPL
3/17/2015,125.9,127.32,125.65,127.04,51023104,AAPL
3/18/2015,127,129.16,126.37,128.47,65270945,AAPL
3/19/2015,128.75,129.2451,127.4,127.495,45809490,AAPL
3/20/2015,128.25,128.4,125.16,125.9,68695136,AAPL
3/23/2015,127.12,127.85,126.52,127.21,37709674,AAPL
3/24/2015,127.23,128.04,126.56,126.69,32842304,AAPL
3/25/2015,126.54,126.82,123.38,123.38,51655177,AAPL
3/26/2015,122.76,124.88,122.6,124.24,47572869,AAPL
3/27/2015,124.57,124.7,122.91,123.25,39546151,AAPL
3/30/2015,124.05,126.4,124,126.37,47099670,AAPL
3/31/2015,126.09,126.49,124.355,124.43,42090553,AAPL
4/1/2015,124.82,125.12,123.1,124.25,40621437,AAPL
4/2/2015,125.03,125.56,124.19,125.32,32220131,AAPL
4/6/2015,124.47,127.51,124.33,127.35,37193975,AAPL
4/7/2015,127.64,128.1218,125.98,126.01,35012268,AAPL
4/8/2015,125.85,126.4,124.97,125.6,37329243,AAPL
4/9/2015,125.85,126.58,124.66,126.56,32483974,AAPL
4/10/2015,125.95,127.21,125.26,127.1,40187953,AAPL
4/13/2015,128.37,128.57,126.61,126.85,36365123,AAPL
4/14/2015,127,127.29,125.91,126.3,25524593,AAPL
4/15/2015,126.41,127.13,126.01,126.78,28970419,AAPL
4/16/2015,126.28,127.1,126.11,126.17,28368987,AAPL
4/17/2015,125.55,126.14,124.46,124.75,51957046,AAPL
4/20/2015,125.57,128.12,125.17,127.6,47054310,AAPL
4/21/2015,128.1,128.2,126.67,126.91,32435057,AAPL
4/22/2015,126.99,128.87,126.32,128.62,37654505,AAPL
4/23/2015,128.3,130.42,128.14,129.67,45770902,AAPL
4/24/2015,130.49,130.63,129.23,130.28,44525905,AAPL
4/27/2015,132.31,133.13,131.15,132.65,96954207,AAPL
4/28/2015,134.455,134.54,129.57,130.56,118923970,AAPL
4/29/2015,130.16,131.59,128.3,128.64,63386083,AAPL
4/30/2015,127.5,127.88,124.58,125.15,83195423,AAPL
5/1/2015,126.1,130.13,125.3,128.95,58512638,AAPL
5/4/2015,129.5,130.57,128.26,128.7,50988278,AAPL
5/5/2015,128.15,128.4498,125.78,125.8,49271416,AAPL
5/6/2015,126.56,126.75,123.36,125.01,72141010,AAPL
5/7/2015,124.77,126.08,124.02,125.26,43940895,AAPL
5/8/2015,126.68,127.62,126.11,127.62,55550382,AAPL
5/11/2015,127.39,127.56,125.625,126.32,42035757,AAPL
5/12/2015,125.6,126.88,124.82,125.865,48160032,AAPL
5/13/2015,126.15,127.19,125.87,126.01,34694235,AAPL
5/14/2015,127.41,128.95,127.16,128.95,45203456,AAPL
5/15/2015,129.07,129.49,128.21,128.77,38208034,AAPL
5/18/2015,128.38,130.72,128.36,130.19,50882918,AAPL
5/19/2015,130.69,130.88,129.64,130.07,44633240,AAPL
5/20/2015,130,130.98,129.34,130.06,36454932,AAPL
5/21/2015,130.07,131.63,129.83,131.39,39730364,AAPL
5/22/2015,131.6,132.97,131.4,132.54,45595972,AAPL
5/26/2015,132.6,132.91,129.12,129.62,70697560,AAPL
5/27/2015,130.34,132.26,130.05,132.045,45833246,AAPL
5/28/2015,131.86,131.95,131.1,131.78,30733309,AAPL
5/29/2015,131.23,131.45,129.9,130.28,50884452,AAPL
6/1/2015,131.2,131.39,130.05,130.535,32112797,AAPL
6/2/2015,129.86,130.655,129.32,129.96,33667627,AAPL
6/3/2015,130.66,130.94,129.9,130.12,30983542,AAPL
6/4/2015,129.58,130.58,128.91,129.36,38450118,AAPL
6/5/2015,129.5,129.69,128.36,128.65,35626800,AAPL
6/8/2015,128.9,129.21,126.83,127.8,52674786,AAPL
6/9/2015,126.7,128.08,125.62,127.42,56075420,AAPL
6/10/2015,127.92,129.34,127.85,128.88,39087250,AAPL
6/11/2015,129.18,130.18,128.475,128.59,35390887,AAPL
6/12/2015,128.185,128.33,127.11,127.17,36886246,AAPL
6/15/2015,126.1,127.24,125.71,126.92,43988946,AAPL
6/16/2015,127.03,127.85,126.37,127.6,31494131,AAPL
6/17/2015,127.72,127.88,126.74,127.3,32918071,AAPL
6/18/2015,127.23,128.31,127.22,127.88,35407220,AAPL
6/19/2015,127.71,127.82,126.4,126.6,54716887,AAPL
6/22/2015,127.49,128.06,127.08,127.61,34039345,AAPL
6/23/2015,127.48,127.61,126.8792,127.03,30268863,AAPL
6/24/2015,127.21,129.8,127.12,128.11,55280855,AAPL
6/25/2015,128.86,129.2,127.5,127.5,31938100,AAPL
6/26/2015,127.67,127.99,126.51,126.75,44066841,AAPL
6/29/2015,125.46,126.47,124.48,124.53,49161427,AAPL
6/30/2015,125.57,126.12,124.86,125.425,44370682,AAPL
7/1/2015,126.9,126.94,125.99,126.6,30238811,AAPL
7/2/2015,126.43,126.69,125.77,126.44,27210952,AAPL
7/6/2015,124.94,126.23,124.85,126,28060431,AAPL
7/7/2015,125.89,126.15,123.77,125.69,46946811,AAPL
7/8/2015,124.48,124.64,122.54,122.57,60761614,AAPL
7/9/2015,123.85,124.06,119.22,120.07,78595038,AAPL
7/10/2015,121.94,123.85,121.21,123.28,61354474,AAPL
7/13/2015,125.03,125.755,124.32,125.66,41440538,AAPL
7/14/2015,126.04,126.37,125.04,125.61,31768139,AAPL
7/15/2015,125.72,127.15,125.58,126.82,33649200,AAPL
7/16/2015,127.74,128.57,127.35,128.51,36222447,AAPL
7/17/2015,129.08,129.62,128.31,129.62,46164710,AAPL
7/20/2015,130.97,132.97,130.7,132.07,58900203,AAPL
7/21/2015,132.85,132.92,130.32,130.75,76756427,AAPL
7/22/2015,121.99,125.5,121.99,125.22,115450607,AAPL
7/23/2015,126.2,127.09,125.06,125.16,50999452,AAPL
7/24/2015,125.32,125.74,123.9,124.5,42162332,AAPL
7/27/2015,123.09,123.61,122.12,122.77,44455540,AAPL
7/28/2015,123.38,123.91,122.55,123.38,33618097,AAPL
7/29/2015,123.15,123.5,122.27,122.99,37011653,AAPL
7/30/2015,122.32,122.5699,121.71,122.37,33628268,AAPL
7/31/2015,122.6,122.6425,120.91,121.3,42884953,AAPL
8/3/2015,121.5,122.57,117.52,118.44,69975968,AAPL
8/4/2015,117.42,117.7,113.25,114.64,124138623,AAPL
8/5/2015,112.95,117.44,112.1,115.4,99312613,AAPL
8/6/2015,115.97,116.5,114.115,115.13,52903040,AAPL
8/7/2015,114.58,116.25,114.5,115.52,38670405,AAPL
8/10/2015,116.53,119.99,116.53,119.72,54951597,AAPL
8/11/2015,117.81,118.18,113.33,113.49,97082814,AAPL
8/12/2015,112.53,115.42,109.63,115.24,101685610,AAPL
8/13/2015,116.04,116.4,114.54,115.15,48535789,AAPL
8/14/2015,114.32,116.31,114.01,115.96,42929516,AAPL
8/17/2015,116.04,117.65,115.5,117.16,40884745,AAPL
8/18/2015,116.43,117.44,116.01,116.5,34560708,AAPL
8/19/2015,116.1,116.52,114.68,115.01,48286510,AAPL
8/20/2015,114.08,114.35,111.63,112.65,68501622,AAPL
8/21/2015,110.43,111.9,105.645,105.76,128275471,AAPL
8/24/2015,94.87,108.8,92,103.12,162206292,AAPL
8/25/2015,111.11,111.11,103.5,103.74,103601599,AAPL
8/26/2015,107.085,109.89,105.05,109.69,96774611,AAPL
8/27/2015,112.25,113.24,110.02,112.92,84616056,AAPL
8/28/2015,112.17,113.31,111.54,113.29,53164407,AAPL
8/31/2015,112.13,114.53,112,112.76,56229271,AAPL
9/1/2015,110.18,111.88,107.36,107.72,76845860,AAPL
9/2/2015,110,112.34,109.131,112.34,61888812,AAPL
9/3/2015,112.49,112.78,110.04,110.37,53233940,AAPL
9/4/2015,108.97,110.45,108.51,109.27,49996311,AAPL
9/8/2015,111.65,112.56,110.32,112.31,54843626,AAPL
9/9/2015,113.76,114.02,109.77,110.15,85010804,AAPL
9/10/2015,110.27,113.2825,109.9,112.57,62892831,AAPL
9/11/2015,111.79,114.21,111.76,114.21,49915473,AAPL
9/14/2015,116.58,116.89,114.86,115.31,58363431,AAPL
9/15/2015,115.93,116.53,114.42,116.28,43341155,AAPL
9/16/2015,116.25,116.54,115.44,116.41,37173489,AAPL
9/17/2015,115.66,116.49,113.715,113.92,64112641,AAPL
9/18/2015,112.21,114.3,111.87,113.45,74285291,AAPL
9/21/2015,113.67,115.37,113.66,115.21,50221965,AAPL
9/22/2015,113.38,114.18,112.5201,113.4,50346159,AAPL
9/23/2015,113.63,114.72,113.3,114.32,35756716,AAPL
9/24/2015,113.25,115.5,112.37,115,50219475,AAPL
9/25/2015,116.44,116.69,114.02,114.71,56151926,AAPL
9/28/2015,113.85,114.57,112.44,112.44,52109011,AAPL
9/29/2015,112.83,113.51,107.86,109.06,73365384,AAPL
9/30/2015,110.17,111.54,108.73,110.3,66473033,AAPL
10/1/2015,109.07,109.62,107.31,109.58,63929100,AAPL
10/2/2015,108.01,111.0136,107.55,110.38,58019758,AAPL
10/5/2015,109.88,111.3698,109.07,110.78,52064743,AAPL
10/6/2015,110.63,111.74,109.765,111.31,48856977,AAPL
10/7/2015,111.74,111.77,109.41,110.78,46765550,AAPL
10/8/2015,110.19,110.19,108.21,109.5,61979577,AAPL
10/9/2015,110,112.28,109.49,112.12,52766140,AAPL
10/12/2015,112.73,112.75,111.44,111.6,30467204,AAPL
10/13/2015,110.82,112.45,110.68,111.79,33049256,AAPL
10/14/2015,111.29,111.52,109.56,110.21,44462449,AAPL
10/15/2015,110.93,112.1,110.49,111.86,37673452,AAPL
10/16/2015,111.78,112,110.53,111.04,39232609,AAPL
